Date,Close,High,Low,Open,Volume
2007-10-05,56.5875129699707,61.59376525878906,46.77188491821289,50.51251220703125,855215656
2007-10-08,53.69063949584961,58.50001525878906,53.3531379699707,58.50001525878906,126671715
2007-10-09,57.34688949584961,57.8531379699707,50.8218879699707,53.7187614440918,116725709
2007-10-10,57.88126373291016,59.06251525878906,57.37501525878906,58.8375129699707,67931378
2007-10-11,64.35001373291016,67.50001525878906,57.37501525878906,67.50001525878906,106320954
2007-10-12,63.92813873291016,66.31876373291016,62.43751525878906,63.00001525878906,99410791
2007-10-15,64.77188873291016,65.64376831054688,64.20938873291016,65.25001525878906,41814972
2007-10-16,71.38126373291016,72.50627136230469,64.40626525878906,64.85626220703125,138614496
2007-10-17,76.95001983642578,78.75001525878906,59.6812629699707,64.12501525878906,204876259
2007-10-18,74.25001525878906,84.06564331054688,71.07189178466797,78.18751525878906,146617799
2007-10-19,73.99689483642578,77.00627136230469,70.31251525878906,72.56251525878906,110266491
2007-10-22,73.01251983642578,75.29064178466797,70.59376525878906,72.50627136230469,72253405
2007-10-23,78.21564483642578,78.91876983642578,74.81251525878906,74.81251525878906,74594921
2007-10-24,77.00627136230469,80.7187728881836,76.13439178466797,79.87501525878906,63055170
2007-10-25,76.83751678466797,78.63751983642578,67.86563873291016,74.39064025878906,34522489
2007-10-26,79.14376831054688,80.40939331054688,76.07814025878906,78.18751525878906,62370025
2007-10-29,80.74689483642578,82.6875228881836,80.04376983642578,80.4375228881836,43657697
2007-10-30,82.5468978881836,84.76876831054688,79.42501831054688,81.8437728881836,79921711
2007-10-31,84.26251983642578,86.1187744140625,82.6875228881836,82.9687728881836,44655368
2007-11-01,82.37814331054688,86.99064636230469,81.7031478881836,86.3437728881836,50632492
2007-11-02,83.86876678466797,84.3750228881836,78.75001525878906,79.39689636230469,32001693
2007-11-05,85.58439636230469,87.4687728881836,83.30626678466797,83.8125228881836,38833135
2007-11-06,86.70939636230469,92.19377136230467,85.52814483642578,87.07501983642578,81880281
2007-11-07,85.44377136230469,89.55001831054688,83.5312728881836,88.3125228881836,33593141
2007-11-08,83.98126983642578,86.2593994140625,82.1250228881836,83.2500228881836,27990521
2007-11-12,86.00627136230469,87.5250244140625,79.22814178466797,81.45001983642578,35153735
2007-11-13,88.05939483642578,89.83126831054688,84.68439483642578,87.4687728881836,43830531
2007-11-14,86.9062728881836,90.8437728881836,86.45626831054688,89.60626983642578,36738579
2007-11-15,88.3687744140625,89.9156494140625,86.70939636230469,88.53752136230469,29242252
2007-11-16,87.7500228881836,89.74689483642578,86.73751831054688,87.97502136230469,18895294
2007-11-19,90.92814636230467,94.2187728881836,89.0718994140625,89.74689483642578,40716718
2007-11-20,89.52189636230469,93.0937728881836,88.42501831054688,90.5625228881836,26342171
2007-11-21,82.5468978881836,90.59064483642578,80.55001831054688,90.0562744140625,26814499
